,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
0,0.36102346728938134,0.37720197469215644,0.6597463432833013,0.8669823551843772,0.9971450628976584,0.752,0.545,0.0,3.637,0.656,2.726,0.6579,0.356,158.96,0.58
1,0.519228826651483,0.1620243316650003,0.4332481608438674,0.8771957951309226,0.8002437558882622,1.417,0.762,0.0,4.415,0.638,2.731,0.2073,0.516,239.15,-1.734
2,0.5174278408953715,0.2101320539188699,0.44150302958239984,0.639287169627222,0.9292730749503256,1.295,0.539,0.0,0.559,0.631,3.73,0.2199,0.345,208.35,-0.176
3,0.3505546987567491,0.4124504117690724,0.6303410141039731,0.9359763956054479,0.9252130968814809,1.089,0.694,0.0,1.042,0.908,4.916,0.9147,0.475,63.22,-0.008
4,0.5543768545149,0.19022537889693514,0.36106735878765917,0.6540352305721436,0.7862868543751259,0.545,0.76,0.0,2.875,0.642,3.508,0.222,0.15,26.18,-1.976
5,0.4884414575050095,0.4306835834215339,0.3329122059853985,0.5895488595579554,0.8707607496180666,0.829,0.576,0.0,0.702,0.368,2.623,0.1836,0.708,74.23,1.599
6,0.5353285827646791,0.37799510158327176,0.21453163094403693,0.6368647326017323,0.897097661692706,0.702,0.653,0.0,2.403,0.307,3.185,0.4365,0.853,79.24,0.604
7,0.6310023579043271,0.24462173826817435,0.14033922366333074,0.47938835913337696,0.8904260366296586,0.79,0.611,0.0,1.547,0.951,1.389,0.8704,0.618,208.75,1.065
8,0.6691123034058849,0.2571369432092997,0.2578305630643677,0.5148128680069393,0.3271125272684242,0.837,0.527,0.0,4.234,0.225,1.45,0.67,0.669,28.68,1.701
9,0.6352376810245471,0.002812081626413221,0.254157955994178,0.7741077455954174,0.8885718356214953,1.523,0.456,0.0,1.056,0.133,1.183,0.3906,0.138,207.46,-1.741
10,0.5407351054375995,0.1001764265956564,0.5053306310937731,0.6605946329902418,0.9987485739446904,0.374,0.628,0.0,2.686,0.322,1.229,0.1366,0.392,16.740000000000002,0.971
11,0.5039070624558086,0.2871975448158083,0.3596320229082206,0.6877132161104489,0.997209161763844,1.974,0.443,0.0,4.853,0.536,1.85,0.9912,0.784,188.39,1.345
12,0.47400636008633906,0.3003803874278129,0.49003046337679124,0.8191475599438994,0.6587025022716871,0.837,0.768,0.0,2.38,0.202,4.975,0.857,0.782,10.58,-1.357
13,0.6063651718096684,0.10336484910470811,0.3904259362937048,0.4566979930867995,0.9983621188277733,1.159,0.621,0.0,1.127,0.111,2.838,0.1948,0.205,9.69,0.144
14,0.4568644043319338,0.27259568232284526,0.4943890047570427,0.9513340356987168,0.7814309266731084,0.754,0.546,0.0,1.6440000000000001,0.769,4.195,0.1473,0.668,71.15,-0.486
15,0.3358539914514824,0.5089294293828659,0.6642751846909452,0.8581117340891634,0.7221549400261924,1.725,0.621,0.0,2.183,0.452,4.356,0.2021,0.395,189.52,1.638
16,0.6329743689843788,0.09078124399485643,0.17105487944930997,0.731743200975963,0.8702473977689533,1.388,0.464,0.0,3.41,0.501,1.254,0.8136,0.689,215.18,-0.636
17,0.5567411356579183,0.14823280867549726,0.4304378986306363,0.5646366078863103,0.9801719943307738,1.582,0.502,0.0,1.528,0.495,3.287,0.7129,0.286,44.53,0.568
18,0.4648314819926866,0.37286846721320055,0.3912702522527044,0.6831067190500332,0.9975484929476267,0.908,0.533,0.0,4.066,0.252,2.26,0.1496,0.744,22.61,1.105
19,0.38017637265613363,0.35270582981562926,0.6220223510488225,0.8725044044911757,0.9950680056347223,0.482,0.531,0.0,2.907,0.236,3.315,0.1429,0.161,195.28,0.495
20,0.4584080678285789,0.2661874238706098,0.5102639288908235,0.7918754422671398,0.8624729886941451,0.317,0.719,0.0,2.962,0.653,3.231,0.0716,0.192,61.13,-1.01
21,0.408260577852766,0.3236151275275748,0.5573061122574813,0.8998845824197714,0.9433490783542818,1.126,0.771,0.0,0.39,0.912,4.978,0.0056,0.54,154.87,-0.913
22,0.47958088199990606,0.29590360719343967,0.4901682190364379,0.6540537908470755,0.7887363385523563,0.708,0.519,0.0,4.474,0.281,4.283,0.2832,0.336,63.91,-1.699
23,0.4089289485619024,0.3883373968783116,0.49338593614054926,0.8809437365240909,0.8453125853304833,1.123,0.681,0.0,3.087,0.299,3.773,0.1103,0.701,51.68,0.244
24,0.4430266011180187,0.2798735466329081,0.4963969359438948,0.8870173884038044,0.9887282785753305,1.425,0.724,0.0,4.673,0.912,2.444,0.2279,0.502,74.47,0.053
25,0.4577239930044039,0.26853187568870984,0.503890925403156,0.8679219498978914,0.8014286702769167,0.917,0.643,0.0,1.2910000000000001,0.617,4.162,0.4534,0.604,188.99,-0.761
26,0.41518692851049327,0.2889222257530518,0.6134094755082422,0.8144702709473214,0.9960468485048801,1.462,0.601,0.0,1.818,0.712,1.784,0.5985,0.396,80.53,0.64
