,index,Unnamed: 0,ED,NSE,logNSE,NSEfdc,NSErunoff,Temp_Thresh,Meltfactor,Mm,Ratio_Pref,Kf,Ks,Ce,Soilstoragecapacity_Bare,beta_Bare,Interceptioncapacity_Forest,Soilstoragecapacity_Forest,beta_Forest,Interceptioncapacity_Grass,Soilstoragecapacity_Grass,beta_Grass,Interceptioncapacity_Rip,Soilstoragecapacity_Rip,beta_Rip,Kf_Rip,Ratio_Riparian
0,0,0,0.3963006593475628,0.3005849491980911,0.8377061300843109,0.9138331464293484,0.6755444402656371,1.9665399068352916,4.3290863236453,0.1455664366776831,0.1894867939650194,2.631356301268654,0.0099933177274407,0.7909223522537857,20.737123609196395,1.963520502606156,1.81530033131656,73.01876321526662,1.9223039283709504,0.3566300863841367,6.648114987830385,1.919783399526397,1.869915497917042,360.312399862088,1.765466216826879,2.7110665518323813,0.0657363971934323
5,5,5,0.3964387431898976,0.309672429177776,0.8005030336453736,0.9004463412677777,0.6800115895552483,1.4523365487614663,2.933392224248638,0.5809333641216459,0.2611119495180419,2.104383749334367,0.0186681145276623,0.7492294290821188,34.29179187814987,1.5634108970731309,1.107906103142067,69.64850640828217,1.574549926084541,2.276661913570014,5.510313357213131,1.9229137533849712,6.429879257807018,81.13668226511312,1.9008534809374065,1.2396375077368005,0.4922269707656426
9,9,9,0.3915283770650652,0.3029380622092611,0.8247742844959357,0.9135144885428016,0.7015058794443161,-0.6160187316239136,3.393846043807999,0.4483651511077774,0.1557974295415307,2.65161700101477,0.0215119207391669,0.723986646362301,66.51893666434253,0.9815627904070798,2.723987776618568,58.78268376089189,1.8840380427198065,0.5558953112510593,5.878545321026432,1.6561152178487777,4.44942078077916,357.2331840395024,1.6800058470846588,2.7597149788444986,0.4998954883881796
10,10,10,0.3951565325089405,0.3339362288477526,0.7513762801565683,0.904372309553778,0.6683444795461102,0.6137821665378818,1.3860801210725864,0.5462948831868069,0.1749007693198421,1.6856226378207677,0.026010003219139,0.7932219238758265,24.970428468582323,1.3432269628201612,1.5410333246849164,50.27425214141695,1.955454039414025,0.4000431832470249,5.050229178790915,1.9238306816035984,3.5212435239357696,399.9901824595837,1.9553835649509796,2.3611705199094004,0.4524409186319481
16,16,16,0.3927600531043594,0.3041756831270806,0.8184148276303783,0.9093095467577352,0.6972254565312674,-0.7783688279163323,3.198169938657766,0.1436007282749102,0.1700568488508571,2.9995738200699806,0.0124108218769016,0.7734089008151404,34.37810433784575,1.391785598690339,3.5783283945888127,66.32115204348192,1.9386704151814609,0.5387177823886488,8.168493993354824,1.9517436853368508,2.006588646343028,7.063652840091103,1.3690609664231987,2.8137761788949045,0.1375723497986193
18,18,18,0.3951202996531798,0.3087686619571217,0.7985424675539791,0.9028547485251384,0.6891027423148075,-1.119221238465069,1.1949130245390356,0.0245845613748302,0.2409470775572055,1.259851609328232,0.0150727193652065,0.5121840896430625,47.928283944156696,0.2875161399780614,1.9116058464650725,64.56383877237674,1.998029678544777,0.215687222551296,5.04164278673759,1.923102300292458,6.366177310287064,93.6002468943284,0.7548504957073193,0.9518279037758676,0.3247315600790548
19,19,19,0.3949756933884182,0.2997227027571579,0.824442570334923,0.9072509947994164,0.6930600850970978,0.6088667148889679,3.9959722597282807,0.3997797167696956,0.2185185342530213,0.8791830647747786,0.0155058130176261,0.6502353333939206,44.47730234163272,1.1938107542269425,3.066812563005356,61.51405467205075,1.6131946840391445,0.3212147456478399,5.258824669082547,1.9891795667279608,4.228374334564345,299.5087566992177,1.1116541702033382,2.078664304283702,0.4118758319573551
20,20,20,0.3925375447825802,0.3083832512783212,0.8264168954565941,0.9147588764860438,0.6828060123165156,1.974942381465232,3.7474275609864782,0.9125688808263692,0.2166528567892377,1.485802665489431,0.0116424259536085,0.7727276132386487,7.439517866950632,1.7109667887190203,2.3276892165586083,64.54077573205879,1.6117872323166034,0.1984726330933321,5.185347561988645,1.9865836497831535,4.838752151281821,255.7554806298569,1.798452157586243,0.7424867157193779,0.179162758575167
21,21,21,0.3961286251767877,0.304654823280085,0.8323483343566365,0.9149647150669008,0.6701082673459204,1.494124056321117,4.327788714447424,0.383029438248575,0.1833180258267376,2.9882020293361378,0.0124093246706375,0.7455690818786989,63.70320788596235,1.719601465661141,1.671290983581886,57.38860460638479,1.9634786493326697,0.1039438086594898,19.37704372367765,1.689636904230324,2.31475195052669,188.8900358478627,1.8559433780103576,1.2035715660625996,0.1951237064659841
24,24,24,0.3921860886927396,0.3042126560272264,0.827079879594938,0.914317818241244,0.6936066575267844,1.4424452852335792,3.9503260791718766,0.7177191369439493,0.2082060185843317,1.5859184980034209,0.016588910104531,0.7857649788271075,50.70130648290451,0.52308183208994,2.387625973981529,50.043323417557474,1.9207434672826973,1.74131234733208,5.275076660084735,1.847224175771071,3.509291931820519,208.6185912137824,1.279879865232813,0.5981953325931694,0.4410103792381142
